case,impl,np,run,time_sec
medium,sequential,1,1,4.176576
medium,sequential,1,2,4.140298
medium,sequential,1,3,4.432024
medium,parallel,1,1,4.771270
medium,parallel,1,2,4.775199
medium,parallel,1,3,4.760346
medium,parallel,2,1,1.942190
medium,parallel,2,2,1.962150
medium,parallel,2,3,2.048479
medium,parallel,4,1,0.911335
medium,parallel,4,2,0.922289
medium,parallel,4,3,1.416780
medium,parallel,8,1,0.725547
medium,parallel,8,2,0.727946
medium,parallel,8,3,0.733333
large,sequential,1,1,10.857652
large,sequential,1,2,11.043133
large,sequential,1,3,11.084669
large,parallel,1,1,15.194729
large,parallel,1,2,16.987290
large,parallel,1,3,17.048327
large,parallel,2,1,7.139618
large,parallel,2,2,7.576395
large,parallel,2,3,7.481982
large,parallel,4,1,3.380800
large,parallel,4,2,3.598077
large,parallel,4,3,3.441228
large,parallel,8,1,2.013766
large,parallel,8,2,2.293619
large,parallel,8,3,2.315229
